shipment_id,order_datetime,order_weekday,order_hour,dispatch_datetime,dispatch_weekday,dispatch_hour,order_before_cutoff,warehouse_id,warehouse_city,warehouse_daily_load_index,destination_postcode,destination_city,destination_region,destination_area_type,special_island_delivery,distance_km,carrier,package_weight_kg,package_volume_liters,is_bulky,is_fragile,is_weekend_related,is_peak_season,is_delayed
SHP0000032,2025-03-28 16:06:10,Friday,16,2025-03-31 17:48:00,Monday,17,0,ODE,Odense,1.03,6710,Esbjerg V,Syddanmark,urban,0,171.5,Carrier_B,2.31,10.8,0,0,1,0,0
SHP0000044,2025-07-30 15:18:32,Wednesday,15,2025-07-31 19:59:00,Thursday,19,0,AAR,Aarhus,1.11,5250,Odense SV,Syddanmark,suburban,0,114.8,Carrier_C,2.5,44.4,0,0,0,0,0
SHP0000049,2025-04-12 14:48:46,Saturday,14,2025-04-14 19:32:00,Monday,19,0,HTA,Høje Taastrup,1.1,4000,Roskilde,Sjælland,urban,0,17.4,Carrier_C,5.47,133.1,1,0,1,0,1
SHP0000051,2025-09-30 15:18:14,Tuesday,15,2025-10-01 17:43:00,Wednesday,17,0,AAL,Aalborg,0.98,9990,Skagen,Nordjylland,suburban,0,108.4,Carrier_B,9.04,103.9,1,0,0,0,1
SHP0000057,2025-04-07 19:45:43,Monday,19,2025-04-08 17:47:00,Tuesday,17,0,ODE,Odense,1.0,6270,Tønder,Syddanmark,suburban,0,144.2,Carrier_B,1.48,7.7,0,0,0,0,0
SHP0000060,2025-01-02 15:17:08,Thursday,15,2025-01-03 18:36:00,Friday,18,0,ODE,Odense,1.05,5000,Odense C,Syddanmark,urban,0,8.0,Carrier_B,2.57,12.0,0,0,1,0,1
SHP0000064,2025-05-07 15:23:27,Wednesday,15,2025-05-08 17:51:00,Thursday,17,0,AAL,Aalborg,1.11,9300,Sæby,Nordjylland,suburban,0,67.6,Carrier_C,1.27,6.9,0,0,0,0,1
SHP0000065,2025-11-26 22:23:52,Wednesday,22,2025-11-27 18:06:00,Thursday,18,0,AAR,Aarhus,1.32,8722,Hedensted,Midtjylland,suburban,0,81.4,Carrier_C,0.77,12.2,0,1,0,1,1
SHP0000066,2025-09-01 23:46:35,Monday,23,2025-09-02 16:13:00,Tuesday,16,0,ODE,Odense,0.86,2000,Frederiksberg,Hovedstaden,urban,0,188.7,Carrier_A,2.16,20.8,0,0,0,0,0
SHP0000068,2025-08-01 13:58:30,Friday,13,2025-08-01 18:09:00,Friday,18,1,AAR,Aarhus,0.98,8700,Horsens,Midtjylland,urban,0,47.7,Carrier_C,3.07,30.5,0,0,1,0,0
SHP0000070,2025-12-18 20:55:37,Thursday,20,2025-12-19 19:08:00,Friday,19,0,ODE,Odense,1.27,7100,Vejle,Syddanmark,urban,0,80.4,Carrier_B,3.38,37.4,0,0,1,1,1
SHP0000071,2025-04-02 09:52:01,Wednesday,9,2025-04-02 17:02:00,Wednesday,17,1,AAR,Aarhus,1.0,8900,Randers C,Midtjylland,urban,0,53.1,Carrier_B,3.04,25.3,0,0,0,0,0
SHP0000080,2025-08-22 19:53:59,Friday,19,2025-08-25 16:31:00,Monday,16,0,AAR,Aarhus,1.04,5700,Svendborg,Syddanmark,urban,0,168.6,Carrier_A,3.64,56.9,0,0,1,0,0
SHP0000081,2025-12-02 21:04:11,Tuesday,21,2025-12-03 18:30:00,Wednesday,18,0,HTA,Høje Taastrup,1.37,2720,Vanløse,Hovedstaden,urban,0,27.1,Carrier_A,0.49,3.0,0,0,0,1,1
SHP0000085,2025-10-09 11:51:15,Thursday,11,2025-10-09 17:19:00,Thursday,17,1,HTA,Høje Taastrup,1.09,2500,Valby,Hovedstaden,urban,0,21.8,Carrier_C,3.04,34.9,0,0,0,0,0
SHP0000086,2025-06-27 21:15:30,Friday,21,2025-06-30 17:56:00,Monday,17,0,HTA,Høje Taastrup,1.01,2900,Hellerup,Hovedstaden,urban,0,32.7,Carrier_A,0.48,4.5,0,0,1,0,0
SHP0000087,2025-11-12 14:51:48,Wednesday,14,2025-11-13 16:48:00,Thursday,16,0,AAR,Aarhus,0.86,8680,Ry,Midtjylland,suburban,0,48.6,Carrier_C,0.78,5.4,0,0,0,0,0
SHP0000088,2025-09-01 19:32:16,Monday,19,2025-09-02 19:19:00,Tuesday,19,0,AAR,Aarhus,0.97,7500,Holstebro,Midtjylland,urban,0,135.2,Carrier_B,0.68,7.3,0,0,0,0,0
SHP0000092,2025-10-24 17:48:02,Friday,17,2025-10-27 18:10:00,Monday,18,0,HTA,Høje Taastrup,1.05,2800,Kongens Lyngby,Hovedstaden,urban,0,27.4,Carrier_A,0.97,13.5,0,0,1,0,0
SHP0000095,2025-12-03 14:16:31,Wednesday,14,2025-12-04 19:44:00,Thursday,19,0,AAL,Aalborg,1.29,6700,Esbjerg,Syddanmark,urban,0,253.2,Carrier_C,1.78,13.0,0,0,0,1,1
SHP0000102,2025-11-28 08:20:37,Friday,8,2025-11-28 17:59:00,Friday,17,1,ODE,Odense,1.4,5270,Odense N,Syddanmark,suburban,0,7.3,Carrier_B,0.47,7.0,0,1,1,1,1
SHP0000105,2025-11-20 10:02:05,Thursday,10,2025-11-20 17:32:00,Thursday,17,1,AAL,Aalborg,1.21,7800,Skive,Midtjylland,urban,0,94.0,Carrier_C,3.51,55.6,0,0,0,1,0
SHP0000116,2025-12-17 17:39:29,Wednesday,17,2025-12-18 19:05:00,Thursday,19,0,HTA,Høje Taastrup,1.46,2000,Frederiksberg,Hovedstaden,urban,0,25.4,Carrier_C,13.13,169.6,1,0,0,1,1
SHP0000119,2025-06-11 18:13:38,Wednesday,18,2025-06-12 18:31:00,Thursday,18,0,AAL,Aalborg,0.98,9600,Aars,Nordjylland,urban,0,44.7,Carrier_B,3.1,31.4,0,0,0,0,0
SHP0000123,2025-07-04 14:56:10,Friday,14,2025-07-07 16:57:00,Monday,16,0,AAR,Aarhus,1.04,8210,Aarhus V,Midtjylland,urban,0,3.9,Carrier_B,1.43,22.0,0,0,1,0,0
SHP0000124,2025-04-03 13:27:26,Thursday,13,2025-04-03 16:05:00,Thursday,16,1,HTA,Høje Taastrup,1.12,2700,Brønshøj,Hovedstaden,urban,0,17.7,Carrier_A,3.27,12.4,0,0,0,0,0
SHP0000125,2025-01-30 16:52:48,Thursday,16,2025-01-31 17:40:00,Friday,17,0,AAR,Aarhus,1.08,7400,Herning,Midtjylland,urban,0,118.3,Carrier_B,0.86,4.1,0,0,1,0,0
SHP0000129,2025-08-19 17:49:10,Tuesday,17,2025-08-20 16:19:00,Wednesday,16,0,ODE,Odense,1.5,6600,Vejen,Syddanmark,suburban,0,105.8,Carrier_B,1.89,28.6,0,0,0,0,0
SHP0000132,2025-07-08 13:34:52,Tuesday,13,2025-07-08 16:27:00,Tuesday,16,1,ODE,Odense,0.96,5700,Svendborg,Syddanmark,urban,0,47.0,Carrier_B,2.42,26.5,0,0,0,0,0
SHP0000134,2025-02-19 10:23:46,Wednesday,10,2025-02-19 16:15:00,Wednesday,16,1,AAR,Aarhus,1.08,8381,Tilst,Midtjylland,suburban,0,13.2,Carrier_C,8.27,46.0,0,0,0,0,0
SHP0000135,2025-06-27 13:38:30,Friday,13,2025-06-27 19:26:00,Friday,19,1,HTA,Høje Taastrup,1.17,2300,København S,Hovedstaden,urban,0,22.5,Carrier_C,3.61,19.1,0,0,1,0,0
SHP0000140,2025-05-14 12:04:35,Wednesday,12,2025-05-14 18:43:00,Wednesday,18,1,HTA,Høje Taastrup,1.01,2900,Hellerup,Hovedstaden,urban,0,25.1,Carrier_A,1.21,11.5,0,0,0,0,0
SHP0000141,2025-11-19 17:26:08,Wednesday,17,2025-11-20 17:06:00,Thursday,17,0,HTA,Høje Taastrup,1.38,2000,Frederiksberg,Hovedstaden,urban,0,26.8,Carrier_A,0.89,4.2,0,0,0,0,0
SHP0000146,2025-11-07 09:41:05,Friday,9,2025-11-07 16:49:00,Friday,16,1,AAL,Aalborg,1.14,9400,Nørresundby,Nordjylland,urban,0,11.6,Carrier_B,2.33,18.4,0,0,1,0,0
SHP0000147,2025-12-11 20:17:23,Thursday,20,2025-12-12 20:05:00,Friday,20,0,HTA,Høje Taastrup,1.21,3000,Helsingør,Hovedstaden,urban,0,70.0,Carrier_B,2.83,11.9,0,0,1,1,1
SHP0000148,2025-11-24 07:54:08,Monday,7,2025-11-24 18:28:00,Monday,18,1,HTA,Høje Taastrup,1.41,2770,Kastrup,Hovedstaden,suburban,0,30.1,Carrier_A,0.82,5.4,0,0,0,1,0
SHP0000149,2025-06-30 10:25:11,Monday,10,2025-06-30 18:14:00,Monday,18,1,AAR,Aarhus,0.92,8000,Aarhus C,Midtjylland,urban,0,7.8,Carrier_B,1.16,3.0,0,0,0,0,0
SHP0000150,2025-10-28 11:20:05,Tuesday,11,2025-10-28 17:32:00,Tuesday,17,1,HTA,Høje Taastrup,1.03,3000,Helsingør,Hovedstaden,urban,0,68.8,Carrier_C,1.35,16.6,0,1,0,0,1
SHP0000151,2025-08-07 10:33:30,Thursday,10,2025-08-07 17:29:00,Thursday,17,1,AAR,Aarhus,0.86,8220,Brabrand,Midtjylland,suburban,0,17.7,Carrier_A,8.71,45.4,0,0,0,0,0
SHP0000153,2025-05-22 12:12:11,Thursday,12,2025-05-22 16:33:00,Thursday,16,1,HTA,Høje Taastrup,0.95,3400,Hillerød,Hovedstaden,urban,0,41.1,Carrier_A,0.49,5.9,0,0,0,0,0
SHP0000156,2025-09-23 14:40:42,Tuesday,14,2025-09-24 20:00:00,Wednesday,20,0,AAL,Aalborg,0.82,9000,Aalborg,Nordjylland,urban,0,16.4,Carrier_A,2.01,18.1,0,0,0,0,0
SHP0000157,2025-11-20 15:23:58,Thursday,15,2025-11-21 18:35:00,Friday,18,0,ODE,Odense,1.34,5200,Odense V,Syddanmark,urban,0,9.9,Carrier_A,1.92,11.6,0,0,1,1,1
SHP0000158,2025-12-15 21:20:23,Monday,21,2025-12-16 17:59:00,Tuesday,17,0,ODE,Odense,1.24,5500,Middelfart,Syddanmark,urban,0,60.7,Carrier_B,1.1,16.6,0,0,0,1,1
SHP0000159,2025-02-10 21:29:48,Monday,21,2025-02-11 19:35:00,Tuesday,19,0,HTA,Høje Taastrup,0.97,2300,København S,Hovedstaden,urban,0,37.3,Carrier_C,3.71,21.8,0,1,0,0,0
SHP0000161,2025-06-24 17:30:10,Tuesday,17,2025-06-25 19:31:00,Wednesday,19,0,HTA,Høje Taastrup,0.97,4300,Holbæk,Sjælland,urban,0,50.2,Carrier_C,2.16,10.4,0,0,0,0,0
SHP0000162,2025-04-26 07:08:13,Saturday,7,2025-04-28 17:03:00,Monday,17,0,AAR,Aarhus,1.26,6893,Hemmet,Syddanmark,rural,0,175.5,Carrier_B,0.76,5.7,0,0,1,0,0
SHP0000163,2025-02-24 15:24:21,Monday,15,2025-02-25 20:31:00,Tuesday,20,0,HTA,Høje Taastrup,1.01,4600,Køge,Sjælland,urban,0,26.8,Carrier_C,2.28,33.0,0,0,0,0,0
SHP0000165,2025-10-24 16:13:22,Friday,16,2025-10-27 18:14:00,Monday,18,0,ODE,Odense,1.19,7100,Vejle,Syddanmark,urban,0,82.7,Carrier_A,0.91,5.6,0,0,1,0,1
SHP0000168,2025-03-30 19:36:29,Sunday,19,2025-03-31 18:58:00,Monday,18,0,ODE,Odense,1.03,2750,Ballerup,Hovedstaden,suburban,0,159.7,Carrier_C,1.4,11.4,0,0,1,0,0
SHP0000170,2025-02-15 17:53:59,Saturday,17,2025-02-17 17:45:00,Monday,17,0,ODE,Odense,0.96,7100,Vejle,Syddanmark,urban,0,82.0,Carrier_A,1.52,10.4,0,0,1,0,1
SHP0000171,2025-01-06 07:50:07,Monday,7,2025-01-06 19:23:00,Monday,19,1,HTA,Høje Taastrup,1.15,2750,Ballerup,Hovedstaden,suburban,0,15.7,Carrier_A,0.92,8.8,0,0,0,0,0
SHP0000175,2025-10-16 18:35:17,Thursday,18,2025-10-17 20:58:00,Friday,20,0,AAR,Aarhus,1.02,8600,Silkeborg,Midtjylland,urban,0,61.9,Carrier_B,0.86,7.7,0,0,1,0,1
SHP0000176,2025-03-25 08:25:17,Tuesday,8,2025-03-25 16:31:00,Tuesday,16,1,AAR,Aarhus,0.97,9530,Støvring,Nordjylland,suburban,0,116.9,Carrier_C,0.77,10.1,0,0,0,0,1
SHP0000179,2025-09-04 11:05:28,Thursday,11,2025-09-04 17:04:00,Thursday,17,1,AAL,Aalborg,1.02,9000,Aalborg,Nordjylland,urban,0,6.9,Carrier_B,2.7,28.1,0,0,0,0,0
SHP0000181,2025-12-13 12:58:41,Saturday,12,2025-12-15 19:55:00,Monday,19,0,HTA,Høje Taastrup,1.35,8700,Horsens,Midtjylland,urban,0,195.3,Carrier_A,3.34,22.5,0,0,1,1,0
SHP0000183,2025-10-14 12:12:56,Tuesday,12,2025-10-14 18:45:00,Tuesday,18,1,AAR,Aarhus,1.04,8400,Ebeltoft,Midtjylland,suburban,0,35.8,Carrier_B,6.07,40.0,0,1,0,0,0
SHP0000184,2025-12-18 14:39:50,Thursday,14,2025-12-19 16:25:00,Friday,16,0,AAL,Aalborg,1.25,7700,Thisted,Nordjylland,urban,0,104.2,Carrier_B,0.24,1.4,0,0,1,1,0
SHP0000185,2025-12-07 18:31:45,Sunday,18,2025-12-08 17:15:00,Monday,17,0,ODE,Odense,1.21,6700,Esbjerg,Syddanmark,urban,0,179.8,Carrier_A,1.08,11.9,0,0,1,1,0
SHP0000188,2025-01-27 13:02:46,Monday,13,2025-01-27 19:53:00,Monday,19,1,HTA,Høje Taastrup,1.23,4800,Nykøbing F,Sjælland,urban,0,119.2,Carrier_C,0.22,1.8,0,0,0,0,0
SHP0000189,2025-02-26 12:37:17,Wednesday,12,2025-02-26 16:51:00,Wednesday,16,1,ODE,Odense,0.91,5800,Nyborg,Syddanmark,urban,0,35.9,Carrier_C,2.99,18.7,0,1,0,0,0
SHP0000194,2025-04-10 13:48:55,Thursday,13,2025-04-10 18:38:00,Thursday,18,1,ODE,Odense,1.0,4700,Næstved,Sjælland,urban,0,107.7,Carrier_B,2.06,28.6,0,0,0,0,0
SHP0000197,2025-09-17 10:46:53,Wednesday,10,2025-09-17 20:41:00,Wednesday,20,1,ODE,Odense,1.12,7100,Vejle,Syddanmark,urban,0,81.6,Carrier_A,1.58,10.0,0,0,0,0,1
SHP0000206,2025-05-09 14:38:29,Friday,14,2025-05-12 18:16:00,Monday,18,0,ODE,Odense,1.0,2400,København NV,Hovedstaden,urban,0,182.1,Carrier_B,2.17,7.7,0,0,1,0,0
SHP0000208,2025-08-21 21:13:29,Thursday,21,2025-08-22 18:38:00,Friday,18,0,HTA,Høje Taastrup,1.11,2400,København NV,Hovedstaden,urban,0,28.2,Carrier_A,2.45,11.8,0,0,1,0,1
SHP0000212,2025-09-24 18:13:19,Wednesday,18,2025-09-25 16:00:00,Thursday,16,0,ODE,Odense,1.04,5000,Odense C,Syddanmark,urban,0,3.0,Carrier_C,1.0,5.7,0,0,0,0,0
SHP0000214,2025-11-23 21:21:48,Sunday,21,2025-11-24 16:50:00,Monday,16,0,AAL,Aalborg,1.24,9800,Hjørring,Nordjylland,urban,0,57.8,Carrier_A,0.81,4.0,0,0,1,1,1
SHP0000215,2025-05-21 17:19:11,Wednesday,17,2025-05-22 18:28:00,Thursday,18,0,AAL,Aalborg,1.0,8800,Viborg,Midtjylland,urban,0,92.4,Carrier_C,2.22,36.3,0,0,0,0,0
SHP0000217,2025-05-13 19:06:24,Tuesday,19,2025-05-14 18:53:00,Wednesday,18,0,HTA,Høje Taastrup,1.01,3520,Farum,Hovedstaden,suburban,0,22.2,Carrier_C,2.81,23.7,0,0,0,0,0
SHP0000219,2025-12-06 19:22:57,Saturday,19,2025-12-08 19:32:00,Monday,19,0,ODE,Odense,1.21,5230,Odense M,Syddanmark,urban,0,5.1,Carrier_A,4.78,15.2,0,0,1,1,1
SHP0000221,2025-05-23 20:16:40,Friday,20,2025-05-26 18:31:00,Monday,18,0,HTA,Høje Taastrup,1.38,2200,København N,Hovedstaden,urban,0,30.5,Carrier_A,0.74,5.8,0,0,1,0,0
SHP0000222,2025-11-21 08:06:52,Friday,8,2025-11-21 19:30:00,Friday,19,1,HTA,Høje Taastrup,1.36,2500,Valby,Hovedstaden,urban,0,5.8,Carrier_A,2.65,14.9,0,0,1,1,1
SHP0000223,2025-02-14 19:22:45,Friday,19,2025-02-17 18:41:00,Monday,18,0,AAR,Aarhus,1.07,8240,Risskov,Midtjylland,suburban,0,12.1,Carrier_B,3.64,10.0,0,1,1,0,1
SHP0000224,2025-06-17 13:00:05,Tuesday,13,2025-06-17 18:11:00,Tuesday,18,1,HTA,Høje Taastrup,1.06,2860,Søborg,Hovedstaden,urban,0,22.5,Carrier_A,2.84,24.7,0,0,0,0,0
SHP0000228,2025-06-23 08:24:27,Monday,8,2025-06-23 18:25:00,Monday,18,1,ODE,Odense,1.13,6700,Esbjerg,Syddanmark,urban,0,173.5,Carrier_B,1.27,7.5,0,0,0,0,0
SHP0000232,2025-03-28 11:23:37,Friday,11,2025-03-28 17:55:00,Friday,17,1,ODE,Odense,1.17,8930,Randers NØ,Midtjylland,suburban,0,148.6,Carrier_A,7.61,132.0,1,0,1,0,0
SHP0000236,2025-10-21 17:15:26,Tuesday,17,2025-10-22 19:43:00,Wednesday,19,0,HTA,Høje Taastrup,0.92,4100,Ringsted,Sjælland,urban,0,45.9,Carrier_C,1.4,41.2,0,0,0,0,0
SHP0000239,2025-04-11 16:55:25,Friday,16,2025-04-14 19:50:00,Monday,19,0,AAR,Aarhus,0.94,8000,Aarhus C,Midtjylland,urban,0,3.0,Carrier_B,0.86,12.9,0,0,1,0,0
SHP0000247,2025-01-27 14:26:07,Monday,14,2025-01-28 17:22:00,Tuesday,17,0,HTA,Høje Taastrup,1.13,2630,Taastrup,Hovedstaden,suburban,0,9.9,Carrier_A,3.4,23.8,0,0,0,0,0
SHP0000249,2025-07-23 18:43:14,Wednesday,18,2025-07-24 16:23:00,Thursday,16,0,HTA,Høje Taastrup,1.08,2610,Rødovre,Hovedstaden,suburban,0,15.2,Carrier_A,0.56,5.8,0,1,0,0,0
SHP0000252,2025-12-04 16:57:53,Thursday,16,2025-12-05 19:46:00,Friday,19,0,ODE,Odense,1.37,7100,Vejle,Syddanmark,urban,0,97.5,Carrier_B,3.58,33.9,0,0,1,1,0
SHP0000256,2025-01-12 20:27:11,Sunday,20,2025-01-13 16:25:00,Monday,16,0,HTA,Høje Taastrup,1.25,2000,Frederiksberg,Hovedstaden,urban,0,15.5,Carrier_B,3.17,22.0,0,0,1,0,1
SHP0000257,2025-12-03 18:40:13,Wednesday,18,2025-12-04 18:04:00,Thursday,18,0,AAR,Aarhus,1.44,8660,Skanderborg,Midtjylland,urban,0,24.1,Carrier_A,3.58,43.5,0,0,0,1,0
SHP0000260,2025-05-11 14:36:28,Sunday,14,2025-05-12 20:14:00,Monday,20,0,AAR,Aarhus,0.95,5210,Odense NV,Syddanmark,urban,0,107.3,Carrier_B,3.32,36.3,0,0,1,0,0
SHP0000261,2025-10-03 17:46:51,Friday,17,2025-10-06 17:49:00,Monday,17,0,AAR,Aarhus,1.03,8653,Them,Midtjylland,rural,0,62.3,Carrier_B,3.42,25.0,0,0,1,0,0
SHP0000262,2025-03-06 07:42:46,Thursday,7,2025-03-06 16:51:00,Thursday,16,1,ODE,Odense,1.06,7100,Vejle,Syddanmark,urban,0,91.5,Carrier_A,0.47,4.0,0,0,0,0,1
SHP0000264,2025-10-07 13:01:49,Tuesday,13,2025-10-07 19:00:00,Tuesday,19,1,HTA,Høje Taastrup,0.94,2300,København S,Hovedstaden,urban,0,33.3,Carrier_C,0.7,6.8,0,0,0,0,0
SHP0000265,2025-11-21 11:01:04,Friday,11,2025-11-21 16:17:00,Friday,16,1,AAL,Aalborg,1.34,9000,Aalborg,Nordjylland,urban,0,3.0,Carrier_B,2.9,42.4,0,1,1,1,0
SHP0000267,2025-03-13 12:02:02,Thursday,12,2025-03-13 19:24:00,Thursday,19,1,HTA,Høje Taastrup,1.12,2720,Vanløse,Hovedstaden,urban,0,15.6,Carrier_B,0.7,14.4,0,0,0,0,0
SHP0000271,2025-12-17 08:23:20,Wednesday,8,2025-12-17 17:34:00,Wednesday,17,1,HTA,Høje Taastrup,1.34,2650,Hvidovre,Hovedstaden,suburban,0,11.0,Carrier_A,0.67,6.7,0,0,0,1,0
SHP0000272,2025-12-09 22:22:24,Tuesday,22,2025-12-10 18:31:00,Wednesday,18,0,AAL,Aalborg,1.24,7600,Struer,Midtjylland,suburban,0,151.0,Carrier_C,3.08,33.1,0,0,0,1,1
SHP0000274,2025-05-28 14:20:59,Wednesday,14,2025-05-29 17:40:00,Thursday,17,0,ODE,Odense,1.4,4200,Slagelse,Sjælland,urban,0,94.6,Carrier_A,3.85,34.9,0,0,0,0,0
SHP0000275,2025-11-21 16:28:09,Friday,16,2025-11-24 18:53:00,Monday,18,0,HTA,Høje Taastrup,1.41,2750,Ballerup,Hovedstaden,suburban,0,20.4,Carrier_A,0.83,4.9,0,1,1,1,1
SHP0000278,2025-10-03 08:53:53,Friday,8,2025-10-03 18:04:00,Friday,18,1,HTA,Høje Taastrup,1.23,2000,Frederiksberg,Hovedstaden,urban,0,20.6,Carrier_C,2.4,30.5,0,0,1,0,0
SHP0000279,2025-01-21 11:42:11,Tuesday,11,2025-01-21 19:37:00,Tuesday,19,1,HTA,Høje Taastrup,0.99,2100,København Ø,Hovedstaden,urban,0,31.0,Carrier_B,1.75,16.7,0,0,0,0,0
SHP0000294,2025-11-06 19:46:23,Thursday,19,2025-11-07 18:02:00,Friday,18,0,AAR,Aarhus,1.05,6800,Varde,Syddanmark,urban,0,168.4,Carrier_B,1.17,6.6,0,0,1,0,0
SHP0000295,2025-10-19 19:17:40,Sunday,19,2025-10-20 18:42:00,Monday,18,0,AAR,Aarhus,1.26,8000,Aarhus C,Midtjylland,urban,0,6.3,Carrier_C,2.71,23.6,0,0,1,0,0
SHP0000297,2025-05-22 15:54:55,Thursday,15,2025-05-23 18:08:00,Friday,18,0,HTA,Høje Taastrup,1.2,4000,Roskilde,Sjælland,urban,0,25.7,Carrier_C,1.03,7.3,0,0,1,0,1
SHP0000299,2025-12-16 11:45:02,Tuesday,11,2025-12-16 18:38:00,Tuesday,18,1,AAR,Aarhus,1.26,8800,Viborg,Midtjylland,urban,0,69.1,Carrier_A,7.46,43.1,0,0,0,1,1
SHP0000305,2025-05-06 10:12:36,Tuesday,10,2025-05-06 19:40:00,Tuesday,19,1,AAR,Aarhus,1.02,7400,Herning,Midtjylland,urban,0,92.5,Carrier_B,0.94,7.3,0,0,0,0,0
SHP0000306,2025-11-23 20:56:35,Sunday,20,2025-11-24 17:52:00,Monday,17,0,ODE,Odense,1.25,5210,Odense NV,Syddanmark,urban,0,16.0,Carrier_A,2.52,19.6,0,0,1,1,1
SHP0000307,2025-02-04 19:35:47,Tuesday,19,2025-02-05 17:27:00,Wednesday,17,0,AAL,Aalborg,0.97,9700,Brønderslev,Nordjylland,urban,0,41.0,Carrier_B,0.65,8.1,0,1,0,0,0
SHP0000313,2025-09-22 11:14:51,Monday,11,2025-09-22 19:03:00,Monday,19,1,AAR,Aarhus,1.06,8800,Viborg,Midtjylland,urban,0,80.7,Carrier_B,2.88,51.1,0,0,0,0,0
SHP0000319,2025-11-12 12:07:59,Wednesday,12,2025-11-12 17:31:00,Wednesday,17,1,HTA,Høje Taastrup,1.06,4500,Nykøbing Sj,Sjælland,suburban,0,66.9,Carrier_C,3.71,32.9,0,0,0,0,0
SHP0000322,2025-10-25 20:05:11,Saturday,20,2025-10-27 17:56:00,Monday,17,0,AAR,Aarhus,1.05,7430,Ikast,Midtjylland,suburban,0,92.1,Carrier_A,4.02,46.5,0,0,1,0,0
SHP0000324,2025-05-23 19:31:13,Friday,19,2025-05-26 16:55:00,Monday,16,0,AAR,Aarhus,1.18,8900,Randers C,Midtjylland,urban,0,51.0,Carrier_B,5.17,24.5,0,0,1,0,0
SHP0000327,2025-02-07 15:44:48,Friday,15,2025-02-10 18:45:00,Monday,18,0,AAR,Aarhus,1.28,8700,Horsens,Midtjylland,urban,0,66.6,Carrier_B,0.42,4.1,0,0,1,0,1
SHP0000339,2025-05-08 14:49:55,Thursday,14,2025-05-09 20:58:00,Friday,20,0,AAR,Aarhus,0.98,8722,Hedensted,Midtjylland,suburban,0,76.6,Carrier_B,0.61,4.4,0,0,1,0,1
SHP0000340,2025-07-05 16:14:51,Saturday,16,2025-07-07 17:16:00,Monday,17,0,HTA,Høje Taastrup,1.11,2400,København NV,Hovedstaden,urban,0,25.1,Carrier_C,12.09,78.4,0,0,1,0,1
SHP0000344,2025-12-04 13:45:02,Thursday,13,2025-12-04 18:02:00,Thursday,18,1,ODE,Odense,1.18,5750,Ringe,Syddanmark,suburban,0,17.8,Carrier_C,6.04,125.3,1,0,0,1,1
SHP0000346,2025-12-05 09:25:51,Friday,9,2025-12-05 18:05:00,Friday,18,1,HTA,Høje Taastrup,1.3,2605,Brøndby,Hovedstaden,suburban,0,11.4,Carrier_A,0.83,4.5,0,0,1,1,1
